"","x"
"1",14.874
"2",15.256
"3",14.807
"4",16.367
"5",16.746
"6",14.9
"7",17.905
"8",14.827
"9",15.591
"10",16.826
"11",13
"12",12.519
"13",16.522
"14",11.763
"15",16.703
"16",15.157
"17",17.856
"18",15.382
"19",16.13
"20",9.588
"21",14.815
"22",14.999
"23",18.064
"24",17.87
"25",19.362
"26",15.045
"27",17.402
"28",15.855
"29",14.9
"30",15.114
"31",17.773
"32",18.454
"33",19.856
"34",19.185
"35",18.293
"36",19.305
"37",14.808
"38",14.171
"39",9.253
"40",20.522
"41",17.311
"42",17.902
"43",17.446
"44",16.875
"45",6.257
"46",11.406
"47",16.811
"48",19.457
"49",15.769
