"","x"
"1",5.368
"2",0
"3",4.302
"4",9.89
"5",3.986
"6",3.536
"7",7.813
"8",11.187
"9",8.935
"10",10.553
"11",13.099
"12",10.433
"13",8.965
"14",4.078
"15",10.847
"16",9.423
"17",10.458
"18",10.53
"19",10.336
"20",12.495
"21",8.546
"22",8.959
"23",10.373
"24",9.212
"25",10.986
"26",12.36
"27",9.082
"28",11.094
"29",12.024
"30",0
"31",0.354
"32",0.578
"33",12.029
"34",12.476
"35",9.367
"36",11.168
"37",12.704
"38",0.463
"39",2.067
"40",12.467
"41",9.708
"42",10.9
"43",11.459
"44",1.588
"45",1.417
"46",10.72
"47",11.128
"48",6.892
"49",1.263
"50",0.807
"51",9.588
