"","x"
"1",17.634
"2",12.744
"3",10.06
"4",18.202
"5",17.442
"6",15.069
"7",19.096
"8",17.052
"9",18.525
"10",19.737
"11",19.591
"12",19.27
"13",18.59
"14",15.91
"15",14.268
"16",13.841
"17",20.407
"18",19.158
"19",15.409
"20",18.189
"21",17.066
"22",19.052
"23",14.57
"24",7.822
"25",19.521
"26",19.45
"27",15.807
"28",14.629
"29",19.886
"30",16.587
"31",19.485
"32",16.177
"33",13.943
"34",14.139
"35",11.913
"36",16.143
"37",18.975
"38",14.145
"39",14.062
"40",16.368
"41",14.269
"42",13.643
"43",15.192
