"","x"
"1",0.266
"2",6.363
"3",6.517
"4",8.07
"5",7.917
"6",0.488
"7",7.991
"8",7.192
"9",8.941
"10",7.388
"11",5.666
"12",6.142
"13",6.536
"14",7.051
"15",8.321
"16",8.373
"17",6.595
"18",6.156
"19",8.094
"20",5.992
"21",6.683
"22",9.247
"23",7.269
"24",6.892
"25",8.15
"26",9.749
"27",8.027
"28",7.702
"29",8.475
"30",3.646
"31",4.008
"32",5.15
"33",8.156
"34",8.368
"35",8.725
"36",8.881
"37",9.232
"38",8.982
"39",9.475
"40",4.227
"41",8.342
"42",8.155
"43",8.093
"44",8.197
"45",8.762
"46",8.836
"47",9.383
"48",8.888
