"","weight"
"1",1.52232585264099
"2",1.50474615852527
"3",5.45084617274288
"4",0.534890643731356
"5",2.01920330886935
"6",0.518763916200177
"7",1.32210748428761
"8",0.510737701760137
"9",0.7169497890819
"10",0.474806276020592
"11",0.633147692244366
"12",1.05515676558072
"13",1.28667144238692
"14",1.7086323774175
"15",1.11552965025497
"16",0.181170638305374
"17",0.732800109262162
"18",1.49584751949908
"19",1.15080015595426
"20",1.78838586391223
"21",1.82102608438721
"22",1.69607222764745
"23",1.41229458706656
"24",0.709532240348834
"25",0.704982268981033
"26",0.636459739174468
"27",0.313647892093627
"28",0.747014056247569
"29",1.02519217722365
"30",1.20778433515738
"31",0.4128232069981
"32",0.760344658838028
"33",1.02911418224744
"34",0.827173500743354
"35",1.01035686772512
"36",0.76514299324863
"37",3.41646803000253
"38",0.192180644637857
"39",1.5783677645556
"40",1.70529428549604
"41",2.98558496832214
"42",0.225789725217065
"43",1.00583288883159
"44",1.65463863121403
"45",1.58913938958372
"46",0.918688739661034
"47",0.727316299831205
"48",0.773830084790641
"49",1.66039152028514
"50",1.81801787660466
"51",2.10921217518678
"52",1.58484226350982
"53",1.8774727691399
"54",1.86091805270534
"55",1.96856013362796
"56",3.11780435542862
"57",2.10711081766004
"58",2.29342538516576
"59",1.54943505858931
"60",3.96627230526
"61",0.28364766953387
"62",1.00201097818455
"63",0.233009013508328
"64",0.205178459841482
"65",0.606189904484646
"66",0.384866470827701
"67",0.233105127225956
"68",0.749253628845464
"69",0.215327658002075
"70",0.481145092574653
"71",0.238583319507124
"72",0.662882342756312
"73",0.235155268543876
"74",0.312569992144771
"75",1.83327275654815
"76",0.446949661657744
"77",0.246107700225782
"78",0.802726354889532
"79",0.718812632548644
"80",0.831820293175504
