"","V1","V2"
"1",1,2
"2",1,5
"3",1,12
"4",1,30
"5",2,8
"6",3,4
"7",3,5
"8",4,11
"9",4,17
"10",5,11
"11",6,7
"12",6,12
"13",6,16
"14",7,13
"15",7,16
"16",8,23
"17",9,14
"18",10,14
"19",11,17
"20",12,18
"21",12,29
"22",13,16
"23",14,15
"24",15,18
"25",16,19
"26",17,20
"27",18,27
"28",19,22
"29",20,28
"30",20,29
"31",21,32
"32",23,24
"33",24,25
"34",25,30
"35",25,31
"36",26,27
"37",26,31
"38",26,37
"39",27,38
"40",28,33
"41",29,30
"42",29,34
"43",31,37
"44",32,34
"45",32,36
"46",34,35
"47",34,40
"48",35,39
"49",36,40
"50",38,41
"51",38,42
"52",40,43
"53",40,44
