"","x"
"1",10.447
"2",7.504
"3",7.774
"4",10.062
"5",8.421
"6",5.244
"7",5.786
"8",9.453
"9",5.88
"10",5.725
"11",5.366
"12",5.569
"13",9.279
"14",6.741
"15",6.252
"16",5.754
"17",5.724
"18",6.667
"19",6.667
"20",5.486
"21",9.513
"22",8.788
"23",10.515
"24",7.577
"25",1.709
"26",8.31
"27",10.923
"28",10.025
"29",9.608
"30",1.911
"31",8.624
"32",4.016
"33",1.018
"34",8.575
"35",8.442
"36",10.068
"37",7.433
"38",9.557
"39",3.859
"40",9.503
"41",10.625
"42",9.033
"43",5.507
"44",10.058
"45",4.792
"46",7.357
