"","weight"
"1",5.5495113298687
"2",2.11405983850749
"3",1.66801948440738
"4",0.920671494073755
"5",1.60985216713254
"6",2.00930336185927
"7",5.94031143954946
"8",1.65749811512031
"9",1.46988060758087
"10",4.66673601142166
"11",2.2502019909131
"12",1.2309248557014
"13",1.55947459088703
"14",1.22119981951193
"15",1.41107795668626
"16",3.54994985884784
"17",1.14162209100231
"18",0.70283426196398
"19",1.24805608838504
"20",2.8375404842729
"21",1.02414647383501
"22",1.20536674952156
"23",1.02368207993128
"24",3.92189048787961
"25",1.19625080975046
"26",5.41007393668447
"27",2.54491964558806
"28",1.93577271403449
"29",2.32518816445933
"30",1.66003283131237
"31",1.80075789619875
"32",4.51732398648154
"33",0.73254965669598
"34",4.67706788487618
