"","weight"
"1",1.17720006791395
"2",1.42526411605142
"3",1.23692780716615
"4",1.01921538405837
"5",1.07004065340545
"6",0.91607859931692
"7",0.846463230490913
"8",1.09553639846264
"9",1.22968491826516
"10",0.830240929242812
"11",1.67371592571894
"12",0.737563556378478
"13",1.1859595272402
"14",0.711688133943297
"15",0.743303437874858
"16",1.88692872171967
"17",1.89760375222671
"18",1.72421721369338
"19",0.776208734685443
"20",0.816884324723247
"21",0.999049547854034
"22",0.812157619967237
"23",0.997296345686202
"24",1.00424100713616
"25",1.07447661733207
"26",0.78600254522895
"27",1.00623059028903
"28",1.15316954544205
"29",0.984936546484479
"30",1.02576800553072
"31",1.07935165753623
"32",1.01390334842492
"33",1.11615411117876
"34",1.03810950295888
"35",0.536003730991021
"36",2.09861001618048
"37",1.67677696789372
"38",1.1236102528655
"39",2.07982306942305
"40",1.83722644204428
"41",1.18460964019397
"42",4.37010251593864
"43",1.66207701401843
