"","weight"
"1",0.916787870780437
"2",4.262162010056
"3",1.06216759511198
"4",1.61086933068706
"5",0.547031992005611
"6",3.0243141371804
"7",0.799784970959194
"8",1.53554550584134
"9",3.5884566320901
"10",2.31764967138973
"11",2.2036426659021
"12",2.7054317583372
"13",2.03504299753027
"14",1.40994361584454
"15",0.87266774892871
"16",0.616846820766326
"17",0.49735261164697
"18",0.62646597663893
"19",0.739799972816614
"20",1.38413330282993
"21",1.19692313879206
"22",1.26948060244597
"23",1.41820872931064
"24",1.45990273648247
"25",0.559074234554395
"26",1.45329831760561
"27",0.706028327894512
