"","x"
"1",16.83
"2",17.627
"3",16.503
"4",22.204
"5",21.165
"6",20.332
"7",19.415
"8",19.255
"9",19.64
"10",21.709
"11",19.755
"12",18.59
"13",18.385
"14",20.137
"15",19.401
"16",19.383
"17",18.546
"18",18.584
"19",19.307
"20",20.1
"21",20.685
"22",18.961
"23",21.118
"24",18.821
"25",19.613
"26",20.813
"27",22.001
"28",20.903
"29",19.167
"30",19.906
"31",20.721
"32",21.636
"33",19.104
"34",20.774
"35",20.704
"36",20.588
"37",19.232
"38",20.083
"39",19.917
"40",20.48
"41",20.417
"42",18.974
"43",20.391
