"","V1","V2"
"1",2,8
"2",1,9
"3",10,12
"4",3,13
"5",3,14
"6",4,14
"7",2,15
"8",5,16
"9",6,16
"10",7,16
"11",7,17
"12",9,17
"13",16,17
"14",8,18
"15",11,18
"16",10,19
"17",9,20
"18",10,20
"19",2,21
"20",12,21
"21",21,22
"22",6,24
"23",8,24
"24",13,24
"25",19,24
"26",23,26
"27",25,26
"28",26,27
"29",26,28
"30",17,30
"31",24,30
"32",9,31
"33",30,31
"34",27,32
"35",28,33
"36",32,33
"37",26,34
"38",29,35
"39",31,35
"40",35,36
"41",21,37
"42",30,37
"43",18,38
"44",37,38
"45",38,39
"46",27,40
"47",13,41
"48",24,41
"49",30,41
"50",40,41
"51",32,42
"52",42,43
"53",40,44
"54",44,45
"55",43,46
"56",44,46
"57",45,48
"58",45,49
"59",46,49
"60",30,50
"61",41,51
"62",48,51
"63",37,52
"64",47,53
"65",50,53
"66",50,54
"67",52,54
"68",52,55
