"","x"
"1",7.837
"2",3.426
"3",10.498
"4",10.137
"5",9.112
"6",7.908
"7",8.216
"8",2.83
"9",8.025
"10",6.345
"11",0.325
"12",6.602
"13",5.252
"14",9.181
"15",10.446
"16",0.103
"17",9.582
"18",8.092
"19",7.969
"20",2.387
"21",5.808
"22",0.248
"23",6.804
"24",0.266
"25",3.686
"26",0
"27",0.601
"28",0
"29",6.733
"30",11.337
"31",11.754
"32",10.631
"33",7.399
"34",10.045
"35",12.034
"36",10.278
"37",10.508
"38",3.963
"39",2.667
"40",0
"41",10.818
"42",7.679
"43",11.367
"44",11.1
"45",12.077
"46",8.511
"47",10.821
"48",5.984
"49",7.064
"50",4.004
"51",7.765
"52",4.693
"53",2.918
