"","x"
"1",15.2
"2",13.52
"3",15.284
"4",13.882
"5",14.636
"6",17.234
"7",16.535
"8",14.123
"9",16.355
"10",14.028
"11",14.781
"12",15.887
"13",15.653
"14",13.643
"15",15.182
"16",14.952
"17",16.103
"18",15.205
"19",17.452
"20",16.799
"21",17.31
"22",17.314
"23",17.739
"24",17.183
"25",14.846
"26",15.249
"27",16.344
"28",17.522
"29",17.177
"30",15.668
"31",17.615
"32",17.511
"33",14.965
"34",15.039
"35",16.915
"36",16.521
"37",16.098
"38",15.777
"39",14.099
"40",17.862
"41",15.391
"42",17.607
"43",15.016
"44",16.7
"45",16.724
"46",16.334
"47",17.145
"48",14.111
"49",17.176
"50",17.352
"51",16.563
"52",16.092
"53",15.067
"54",16.457
