"","x"
"1",21.762
"2",23.859
"3",23.491
"4",25.065
"5",18.783
"6",24.546
"7",24.492
"8",22.029
"9",23.209
"10",21.788
"11",22.584
"12",21
"13",24.494
"14",19.74
"15",22.903
"16",28.246
"17",28.094
"18",22.886
"19",28.208
"20",27.868
"21",18.246
"22",23.96
"23",28.237
"24",28.177
"25",25.161
"26",20.783
"27",21.765
"28",29.332
"29",26.826
"30",29.421
"31",28.522
"32",23.717
"33",28.404
"34",28.288
"35",29.281
"36",27.899
"37",24.071
"38",20.96
"39",23.565
"40",27.574
"41",29.484
"42",27.822
"43",22.525
"44",29.694
"45",27.871
