"","x"
"1",18.002
"2",21.762
"3",19.271
"4",18.409
"5",22.071
"6",18.783
"7",24.492
"8",8.91
"9",22.029
"10",15.513
"11",15.534
"12",21.788
"13",22.584
"14",21
"15",15.381
"16",16.366
"17",19.214
"18",21.839
"19",19.74
"20",15.55
"21",18.05
"22",22.886
"23",8.191
"24",18.246
"25",18.139
"26",20.156
"27",23.96
"28",10.956
"29",18.312
"30",13.819
"31",20.783
"32",21.765
"33",6.756
"34",18.67
"35",18.906
"36",18.096
"37",22.981
"38",18.469
"39",20.96
"40",23.565
"41",12.979
"42",22.525
"43",11.436
"44",16.056
