"","weight"
"1",0.720280500419237
"2",1.12070335045787
"3",0.683874257121667
"4",0.708784875499607
"5",1.05072403561357
"6",0.894161618418846
"7",1.06112628842867
"8",0.954907848999981
"9",0.844535967303739
"10",0.65113823455555
"11",0.387377077160943
"12",1.28289711221861
"13",2.96163063196098
"14",1.538441094108
"15",0.400525904272139
"16",1.26242821567956
"17",0.672253672013092
"18",0.669947012725581
"19",0.280934156102801
"20",1.21024832200913
"21",1.07571185766272
"22",1.18001525413869
"23",0.65299310904814
"24",1.14064937670496
"25",1.29619790161153
"26",1.17419121114615
"27",1.25041752996552
"28",1.62314509544724
"29",1.05556098764647
"30",0.647842573516973
"31",1.13363309754711
"32",2.50042496392718
