"","x"
"1",6.129
"2",5.615
"3",5.567
"4",4.813
"5",4.927
"6",4.896
"7",4.982
"8",5.303
"9",4.86
"10",5.037
"11",4.769
"12",4.952
"13",4.789
"14",0.123
"15",0.117
"16",0.101
"17",0.045
"18",0
"19",4.954
"20",5.773
"21",0.045
"22",0.054
"23",0.042
"24",5.544
"25",5.36
"26",5.377
"27",5.024
"28",4.107
"29",4.637
"30",4.204
"31",4.452
"32",5.203
"33",4.893
"34",4.894
"35",4.882
"36",4.377
"37",4.55
"38",4.977
"39",5.221
"40",5.397
"41",5.317
"42",4.727
"43",4.789
"44",4.44
"45",4.426
"46",4.77
"47",5.366
"48",5.066
"49",5.354
"50",4.898
"51",4.905
