"","V1","V2"
"1",1,2
"2",3,4
"3",3,7
"4",1,8
"5",1,9
"6",2,9
"7",3,10
"8",11,12
"9",4,13
"10",10,13
"11",4,14
"12",5,14
"13",6,15
"14",8,15
"15",9,16
"16",9,18
"17",15,18
"18",9,19
"19",10,19
"20",11,20
"21",14,20
"22",16,21
"23",18,21
"24",17,22
"25",18,22
"26",21,23
"27",18,24
"28",19,24
"29",19,25
"30",20,25
"31",13,26
"32",24,26
"33",25,26
"34",22,27
"35",17,28
"36",22,28
"37",23,28
"38",24,29
"39",25,29
"40",25,30
"41",26,30
"42",29,30
"43",24,31
"44",21,33
"45",29,35
"46",32,35
"47",30,36
"48",31,37
"49",34,37
"50",31,38
"51",32,38
"52",38,39
"53",26,40
"54",32,40
"55",36,40
