"","V1","V2"
"1",1,3
"2",1,6
"3",2,6
"4",2,10
"5",2,11
"6",3,7
"7",3,8
"8",4,8
"9",5,9
"10",6,7
"11",6,11
"12",6,13
"13",7,10
"14",8,15
"15",9,12
"16",10,12
"17",10,13
"18",11,13
"19",11,14
"20",12,15
"21",12,19
"22",13,25
"23",13,29
"24",15,19
"25",15,27
"26",16,17
"27",16,24
"28",17,20
"29",18,19
"30",18,25
"31",19,23
"32",19,27
"33",20,22
"34",20,23
"35",21,24
"36",22,26
"37",23,32
"38",24,28
"39",25,28
"40",25,32
"41",26,39
"42",27,29
"43",27,39
"44",28,32
"45",28,33
"46",29,30
"47",29,36
"48",31,33
"49",32,35
"50",33,34
"51",33,38
"52",35,37
"53",36,39
