"","weight"
"1",0.273914220339534
"2",1.04961373844327
"3",0.274810843580249
"4",1.10777073438495
"5",0.278253481171777
"6",1.80723103105572
"7",1.36022975994899
"8",0.977992331426069
"9",2.11747491127107
"10",2.11456851389349
"11",3.51491109423745
"12",1.22817791873611
"13",2.86942781758971
"14",1.27137720610567
"15",2.30058709924461
"16",1.31665067494068
"17",1.33492471686752
"18",1.23081273930364
"19",1.13892449271641
"20",0.409648874510134
"21",2.62029648699888
"22",0.633025275997114
"23",1.61206385159427
"24",1.7035551064629
"25",1.68121979547485
"26",1.43493867469168
"27",0.182822317986088
"28",0.620262041329715
"29",0.45276483955208
"30",1.04196401091358
"31",1.04153780524515
"32",2.19972748303376
"33",0.575425755771715
"34",1.15028213901078
"35",0.600333240511487
"36",1.66742316138419
"37",1.7209404406846
"38",0.985715983413896
"39",1.75641680705549
"40",5.19813437717003
"41",4.87845016372914
