"","x"
"1",20.668
"2",15.886
"3",21.488
"4",23.386
"5",19.256
"6",23.448
"7",23.677
"8",19.003
"9",19.632
"10",19.414
"11",24.757
"12",21.958
"13",22.911
"14",21.906
"15",23.834
"16",26.274
"17",22.355
"18",10.958
"19",22.053
"20",20.339
"21",21.156
"22",19.36
"23",19.242
"24",27.774
"25",22.877
"26",19.302
"27",23.561
"28",21.264
"29",20.601
"30",24.251
"31",25.569
"32",22.175
"33",25.326
"34",17.255
"35",14.828
"36",14.654
"37",21.812
"38",18.112
"39",19.004
"40",14.586
"41",23.218
"42",20.522
"43",17.861
"44",19.447
"45",23.183
"46",21.99
"47",19.49
"48",17.998
"49",19.375
"50",14
"51",16.726
