"","x"
"1",1.545
"2",7.137
"3",7.281
"4",3.799
"5",10.673
"6",8.412
"7",2.041
"8",0.217
"9",11.67
"10",9.704
"11",7.621
"12",4.33
"13",8.238
"14",9.803
"15",9.492
"16",11.854
"17",1.459
"18",1.783
"19",8.699
"20",8.945
"21",9.519
"22",0.243
"23",1.735
"24",5.84
"25",8.235
"26",9.49
"27",11.443
"28",9.553
"29",1.549
"30",8.405
"31",9.6
"32",9.947
"33",7.978
"34",11.472
"35",9.506
"36",10.136
"37",11.505
"38",10.554
"39",9.518
"40",11.656
"41",12.089
"42",11.751
"43",11.627
"44",11.455
"45",12.343
"46",11.719
"47",12.578
"48",5.508
"49",12.594
"50",11.853
"51",11.941
"52",5.631
"53",6.173
"54",12.33
