"","x"
"1",17.126
"2",17.604
"3",17.083
"4",21.612
"5",18.212
"6",16.256
"7",15.013
"8",13.255
"9",17.713
"10",16.839
"11",18.813
"12",19.251
"13",16.606
"14",19.658
"15",21.423
"16",18.077
"17",15.371
"18",18.339
"19",18.039
"20",17.513
"21",18.769
"22",21.688
"23",20.305
"24",20.439
"25",21.411
"26",13.914
"27",20.826
"28",19.997
"29",17.499
"30",20.492
"31",15.898
"32",13.646
"33",15.651
"34",15.849
"35",16.308
"36",19.489
"37",19.073
"38",20.556
"39",11.543
"40",15.88
"41",15.9
"42",19.653
"43",19.294
"44",19.294
"45",20.458
