"","x"
"1",7.16
"2",3.889
"3",4.905
"4",4.661
"5",0.101
"6",3.838
"7",2.725
"8",5.029
"9",0
"10",4.013
"11",0.033
"12",9.613
"13",0.124
"14",3.718
"15",0.412
"16",0
"17",0
"18",5.052
"19",4.652
"20",9.344
"21",8.817
"22",5.522
"23",5.086
"24",4.491
"25",0.369
"26",0.367
"27",10.635
"28",0.233
"29",2.536
"30",9.361
"31",2.381
"32",8.352
"33",0
"34",5.319
"35",2.496
"36",0.351
"37",0.29
"38",2.38
"39",1.939
"40",0
"41",9.395
"42",0
"43",5.539
"44",9.769
"45",8.309
"46",7.792
"47",8.404
"48",6.774
"49",6.701
"50",10.241
"51",9.652
"52",7.458
"53",7.976
"54",7.497
"55",7.47
"56",7.13
"57",6.425
"58",5.8
