"","x"
"1",15.493
"2",15.533
"3",10.545
"4",10.673
"5",14.053
"6",14.652
"7",14.976
"8",15.342
"9",14.57
"10",13.776
"11",14.999
"12",14.95
"13",9.739
"14",10.586
"15",12.923
"16",13.782
"17",13.594
"18",14.158
"19",14.672
"20",13.924
"21",10.479
"22",14.538
"23",7.705
"24",12.18
"25",13.48
"26",15.086
"27",15.337
"28",15.575
"29",16.729
"30",14.994
"31",12.531
"32",14.136
"33",15.175
"34",15.074
"35",15.752
"36",15.858
"37",11.943
"38",12.147
"39",13.446
"40",13.766
"41",15.559
"42",14.913
"43",14.529
"44",10.99
"45",14.45
