"","V1","V2"
"1",1,16
"2",1,17
"3",2,3
"4",3,4
"5",3,20
"6",4,5
"7",4,18
"8",4,24
"9",6,8
"10",7,8
"11",7,9
"12",8,10
"13",9,15
"14",9,16
"15",10,25
"16",11,14
"17",12,13
"18",13,14
"19",13,20
"20",13,38
"21",14,23
"22",14,32
"23",15,22
"24",15,29
"25",16,27
"26",17,26
"27",18,19
"28",18,24
"29",18,33
"30",19,31
"31",20,22
"32",20,39
"33",21,24
"34",21,28
"35",21,31
"36",22,24
"37",22,32
"38",23,29
"39",23,32
"40",23,37
"41",24,26
"42",25,27
"43",25,29
"44",25,36
"45",26,30
"46",26,34
"47",27,35
"48",29,36
"49",30,34
"50",32,37
"51",32,38
"52",33,39
