"","V1","V2"
"1",1,2
"2",4,6
"3",3,7
"4",2,10
"5",7,10
"6",9,10
"7",8,11
"8",9,11
"9",3,12
"10",10,12
"11",3,13
"12",4,13
"13",4,14
"14",5,14
"15",5,15
"16",14,15
"17",12,16
"18",13,16
"19",2,17
"20",10,17
"21",11,17
"22",15,18
"23",14,19
"24",17,21
"25",19,21
"26",20,22
"27",7,23
"28",16,25
"29",19,26
"30",25,26
"31",16,27
"32",21,27
"33",22,27
"34",25,27
"35",18,28
"36",15,29
"37",24,29
"38",26,29
"39",18,30
"40",28,30
"41",22,31
"42",27,31
"43",23,32
"44",27,32
"45",26,33
"46",28,34
"47",29,34
"48",30,35
"49",34,35
"50",31,36
