"","weight"
"1",1.07056060101766
"2",1.27094453061872
"3",1.07056060092958
"4",6.46099007748029
"5",1.47752360351668
"6",5.30379826161204
"7",1.61481423067688
"8",1.38305314430639
"9",3.11982771956821
"10",1.07320128601505
"11",1.41322326619865
"12",1.46727638884915
"13",1.67361883392218
"14",1.47566933983957
"15",1.75602505695367
"16",2.03112801155806
"17",1.89858262927196
"18",2.29251848399849
"19",0.886453608661338
"20",0.88073832612065
"21",1.87024062624101
"22",6.04951245932248
"23",3.54912608918512
"24",1.23415112571052
"25",3.05095411336552
"26",2.29391717381055
"27",1.81125067273573
"28",1.27363299270626
"29",4.9981665640247
"30",4.65057673832724
"31",3.11367692609558
