"","V1","V2"
"1",1,4
"2",2,5
"3",3,6
"4",6,7
"5",3,8
"6",5,8
"7",5,9
"8",4,10
"9",7,14
"10",8,14
"11",5,15
"12",8,15
"13",9,16
"14",10,16
"15",10,17
"16",11,17
"17",12,18
"18",13,18
"19",12,19
"20",13,20
"21",19,21
"22",10,22
"23",18,22
"24",20,23
"25",15,24
"26",22,24
"27",17,25
"28",15,26
"29",16,26
"30",21,27
"31",24,28
"32",25,29
"33",26,29
"34",14,31
"35",30,31
"36",26,32
"37",30,32
"38",24,33
"39",23,34
"40",28,34
"41",22,35
"42",27,35
"43",28,35
"44",27,36
"45",31,37
"46",29,38
"47",32,38
"48",29,39
"49",31,40
"50",33,40
"51",33,41
"52",34,41
"53",34,42
"54",35,43
"55",36,43
"56",41,44
"57",42,44
"58",32,45
"59",37,45
"60",44,46
"61",40,47
"62",44,48
"63",43,49
"64",47,50
