"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0.143
"8",0.146
"9",0.194
"10",0.232
"11",0.153
"12",4.752
"13",6.587
"14",-0.092
"15",0.149
"16",-0.057
"17",0
"18",4.668
"19",4.654
"20",7.093
"21",4.333
"22",4.24
"23",7.21
"24",3.806
"25",0
"26",0
"27",5.746
"28",6.126
"29",0
"30",0
"31",0.089
"32",0.055
"33",3.574
"34",6.568
"35",5.199
"36",5.792
"37",-0.056
"38",0.038
"39",-0.13
"40",3.147
"41",5.956
"42",6.944
"43",5.555
"44",5.962
"45",0
"46",7.045
"47",3.447
"48",4.576
"49",5.229
"50",3.394
