"","x"
"1",21.74
"2",21.892
"3",22.516
"4",19.251
"5",21.423
"6",22.495
"7",21.928
"8",18.039
"9",17.513
"10",18.769
"11",21.688
"12",21.014
"13",21.961
"14",22.589
"15",21.917
"16",20.305
"17",20.439
"18",20.826
"19",19.997
"20",17.499
"21",15.898
"22",16.308
"23",17.065
"24",19.073
"25",20.556
"26",19.112
"27",19.294
"28",18.793
"29",19.411
"30",19.294
"31",17.746
"32",18.736
"33",16.683
"34",17.705
"35",17.116
"36",19.901
"37",19.796
"38",21.26
"39",16.171
"40",19.03
"41",15.647
"42",18.579
"43",20.843
"44",19.97
"45",19.413
"46",20.283
"47",18.706
