"","x"
"1",13.694
"2",9.623
"3",6.081
"4",6.769
"5",6.831
"6",12.534
"7",11.921
"8",13.173
"9",7.354
"10",8.786
"11",7.929
"12",12.016
"13",5.656
"14",14.857
"15",6.218
"16",7.961
"17",8.584
"18",7.974
"19",8.691
"20",12.179
"21",4.948
"22",7.556
"23",7.757
"24",11.057
"25",9.833
"26",8.947
"27",7.136
"28",5.298
"29",11.228
"30",9.237
"31",11.142
"32",9.074
"33",11.116
"34",11.013
"35",9.075
"36",7.362
"37",10.266
"38",9.974
"39",7.448
"40",5.899
"41",10.261
"42",6.268
"43",7.498
"44",8.886
"45",7.521
"46",7.667
