"","x"
"1",6.081
"2",8.786
"3",5.656
"4",6.218
"5",4.928
"6",7.974
"7",6.615
"8",7.317
"9",4.948
"10",0.144
"11",7.556
"12",7.757
"13",6.897
"14",7.736
"15",5.209
"16",0
"17",0.651
"18",7.136
"19",5.298
"20",7.362
"21",7.025
"22",5.2
"23",5.974
"24",2.696
"25",0.37
"26",9.974
"27",7.448
"28",5.899
"29",6.323
"30",5.074
"31",1.918
"32",4.086
"33",5.654
"34",3.177
"35",6.821
"36",7.459
"37",5.862
"38",7.431
"39",6.268
"40",6.878
"41",6.359
"42",5.093
"43",5.038
"44",8.886
"45",7.521
"46",8.5
"47",7.296
"48",7.373
"49",1.517
"50",8.544
"51",6.963
"52",7.093
"53",5.111
