"","x"
"1",6.212
"2",7.448
"3",5.151
"4",6.556
"5",6.577
"6",0.274
"7",6.234
"8",-0.011
"9",6.844
"10",4.651
"11",5.995
"12",5.956
"13",7.079
"14",6.604
"15",6.066
"16",6.296
"17",6.055
"18",0
"19",6.374
"20",0
"21",6.827
"22",6.476
"23",6.443
"24",5.883
"25",5.765
"26",6.855
"27",6.056
"28",0.095
"29",5.699
"30",5.754
"31",6.859
"32",6.538
"33",3.672
"34",0
"35",0
"36",5.289
"37",0
"38",5.706
"39",6.216
"40",0
"41",0
"42",4.107
"43",0
"44",0.132
"45",0.08
"46",3.11
"47",-0.059
"48",5.96
"49",-0.024
"50",0.038
"51",0.059
"52",5.751
