"","x"
"1",8.037
"2",11.218
"3",10.877
"4",6.02
"5",8.136
"6",11.694
"7",11.762
"8",4.226
"9",5.056
"10",4.273
"11",9.858
"12",10.554
"13",4.006
"14",6.888
"15",11.247
"16",15.043
"17",10.32
"18",7.359
"19",6.307
"20",5.084
"21",7.621
"22",6.441
"23",7.381
"24",5.039
"25",7.057
"26",15.097
"27",7.26
"28",11.867
"29",5.939
"30",7.894
"31",7.909
"32",14.451
"33",14.629
"34",6.791
"35",7.32
"36",9.531
"37",11.361
"38",2.322
"39",9.47
"40",9.019
"41",15.032
"42",9.207
"43",10.851
"44",16.369
"45",14.65
"46",4.112
"47",9.196
"48",14.658
