"","V1","V2"
"1",1,5
"2",2,5
"3",3,7
"4",4,7
"5",2,8
"6",5,9
"7",6,9
"8",3,11
"9",8,11
"10",4,12
"11",8,12
"12",11,12
"13",5,13
"14",8,13
"15",9,13
"16",10,14
"17",11,14
"18",11,15
"19",12,16
"20",13,17
"21",16,17
"22",10,18
"23",14,18
"24",15,18
"25",5,19
"26",14,20
"27",18,20
"28",15,21
"29",18,21
"30",13,22
"31",15,22
"32",21,22
"33",18,23
"34",20,23
"35",16,24
"36",17,24
"37",22,24
"38",19,25
"39",21,25
"40",9,26
"41",19,26
"42",16,27
"43",25,28
"44",22,29
"45",25,29
"46",28,30
"47",26,31
"48",29,31
"49",24,32
"50",27,32
"51",29,33
"52",30,33
"53",31,33
"54",31,34
