"","x"
"1",6.596
"2",0.318
"3",3.426
"4",6.566
"5",0
"6",-0.186
"7",0
"8",7.171
"9",5.893
"10",3.274
"11",2.393
"12",0
"13",0.131
"14",0
"15",-0.018
"16",-0.258
"17",3.412
"18",0
"19",3.123
"20",0
"21",0.093
"22",-0.048
"23",0
"24",0.151
"25",0.336
"26",0
"27",0
"28",0
"29",0.496
"30",5.46
"31",0.053
"32",0.008
"33",0.148
"34",0.335
"35",0.072
"36",6.67
"37",6.212
"38",1.595
"39",0
"40",0.463
"41",0.377
"42",0.486
"43",0
"44",0.757
"45",-0.156
"46",0.055
"47",0.202
"48",0
"49",0.858
"50",1.154
"51",0.276
