"","x"
"1",15.493
"2",15.533
"3",10.545
"4",10.673
"5",14.053
"6",14.652
"7",14.976
"8",15.342
"9",14.57
"10",13.776
"11",14.999
"12",15.418
"13",14.95
"14",15.846
"15",9.739
"16",10.586
"17",12.923
"18",13.782
"19",13.594
"20",14.158
"21",14.672
"22",13.924
"23",14.538
"24",7.705
"25",12.18
"26",13.48
"27",15.086
"28",15.337
"29",15.575
"30",16.729
"31",17.11
"32",14.994
"33",12.531
"34",14.136
"35",15.175
"36",15.074
"37",15.752
"38",15.858
"39",16.414
"40",15.046
"41",16.1
"42",11.943
"43",13.446
"44",15.559
"45",15.692
"46",14.529
"47",10.99
