"","x"
"1",10.877
"2",9.593
"3",0.73
"4",1.088
"5",8.052
"6",1.246
"7",0.467
"8",1.185
"9",0.588
"10",0.825
"11",0.526
"12",0.731
"13",0.288
"14",0.93
"15",0.394
"16",0.613
"17",0.31
"18",4.212
"19",0.83
"20",5.872
"21",2.289
"22",2.028
"23",0.59
"24",5.437
"25",3.222
"26",0.356
"27",4.582
"28",10.882
"29",0.817
"30",0.767
"31",3.344
"32",6.433
"33",4.464
"34",4.431
"35",2.984
"36",2.994
"37",0.857
"38",2.899
"39",0.84
"40",2.905
"41",0.31
"42",0.721
"43",0.501
"44",2.166
"45",2.899
"46",1.761
"47",2.564
"48",0.79
"49",3.023
"50",1.167
"51",1.319
"52",1.018
