"","x"
"1",10.632
"2",11.964
"3",11.732
"4",13.661
"5",12.568
"6",12.089
"7",11.509
"8",10.213
"9",11.485
"10",11.343
"11",11.156
"12",11.593
"13",11.007
"14",11.304
"15",11.223
"16",11.634
"17",12.173
"18",13.141
"19",11.569
"20",10.673
"21",11.06
"22",13.559
"23",11.632
"24",6.623
"25",10.699
"26",12.274
"27",10.806
"28",14.207
"29",11.494
"30",13.529
"31",10.557
"32",11.879
"33",13.602
"34",12.213
"35",13.004
"36",12.168
"37",12.502
"38",11.12
"39",11.608
"40",12.701
"41",12.132
"42",12.523
"43",10.503
"44",12.308
