"","x"
"1",11.933
"2",10.96
"3",10.418
"4",13.971
"5",10.719
"6",13.723
"7",13.964
"8",11.335
"9",12.546
"10",15.2
"11",17.074
"12",15.015
"13",14.897
"14",11.315
"15",12.842
"16",12.435
"17",14.867
"18",13.81
"19",15.536
"20",13.182
"21",11.454
"22",13.499
"23",15.256
"24",13.099
"25",11.575
"26",13.676
"27",13.734
"28",15.432
"29",13.6
"30",11.437
"31",14.371
"32",13.945
"33",12.896
"34",13.376
"35",14.482
"36",14.428
"37",7.059
"38",7.337
"39",14.352
"40",12.158
"41",7.62
"42",12.48
"43",13.13
"44",11.991
"45",12.099
"46",8.286
