"","x"
"1",19.168
"2",21.353
"3",21.527
"4",20.541
"5",18.796
"6",21.327
"7",16.912
"8",21.686
"9",20.251
"10",16.209
"11",21.507
"12",19.665
"13",16.668
"14",16.702
"15",16.604
"16",16.661
"17",18.623
"18",16.593
"19",18.512
"20",19.58
"21",16.812
"22",13.888
"23",18.226
"24",18.539
"25",19.692
"26",16.774
"27",17.039
"28",17.926
"29",16.481
"30",17.122
"31",17.313
"32",18.039
"33",18.077
"34",19.13
"35",15.943
"36",18.32
"37",18.588
"38",18.574
"39",18.284
"40",18.188
"41",15.708
"42",18.322
"43",18.462
"44",15.417
"45",18.796
"46",17.44
"47",18.838
"48",18.848
"49",19.647
