"","weight"
"1",1.9404641196406
"2",0.212906082690388
"3",3.14135464413468
"4",3.09564445637867
"5",1.21070888320799
"6",0.544673296584733
"7",2.59376733736506
"8",0.20415925168007
"9",0.296270147284089
"10",0.530868157191824
"11",3.7885336477536
"12",0.691016642415739
"13",0.976216062278301
"14",0.212565284198917
"15",0.482994823988636
"16",0.290929889133832
"17",0.279808148941525
"18",0.520116910127321
"19",3.43475020928835
"20",0.578916056205028
"21",1.69914213681098
"22",1.9590530882768
"23",2.22429224721518
"24",1.61667436408866
"25",1.18654793382063
"26",1.05844225096752
"27",1.05710169782359
"28",0.373636186696784
"29",3.27785362736656
"30",3.64556017608331
"31",2.96909767438982
"32",2.82122030302916
"33",0.203312567199801
"34",0.194384670523712
"35",3.34792487983555
