"","x"
"1",15.551
"2",13.095
"3",12.397
"4",8.113
"5",3.676
"6",3.375
"7",0
"8",14.321
"9",15.845
"10",15.894
"11",13.636
"12",2.341
"13",4.297
"14",12.114
"15",13.127
"16",16.435
"17",4.386
"18",12.354
"19",11.873
"20",13.158
"21",12.362
"22",16.075
"23",14.085
"24",9.474
"25",7.248
"26",3.754
"27",14.027
"28",3.162
"29",3.719
"30",7.687
"31",7.436
"32",8.175
"33",10.771
"34",14.143
"35",8.097
"36",10.885
"37",12.92
"38",7.94
"39",5.765
"40",11.19
"41",12.143
"42",12.772
"43",0.127
"44",5.161
"45",12.442
"46",13.26
"47",11.923
"48",11.724
