"","weight"
"1",2.42540718266154
"2",0.832168252305782
"3",0.7849229261496
"4",0.531233470396382
"5",1.02137945956702
"6",0.966093163179979
"7",0.820746611302091
"8",0.794053272990371
"9",0.37229020947979
"10",4.47850421454672
"11",0.74541518698024
"12",0.815610814251222
"13",1.17882823184236
"14",3.42820011074265
"15",1.38709541162527
"16",3.95781202182344
"17",1.7504288041586
"18",1.60398753071644
"19",0.91583622985643
"20",1.75591457660857
"21",0.530961768974716
"22",0.295275126060805
"23",0.548891974799211
"24",3.23830264140785
"25",3.79666324546276
"26",4.43747721104601
"27",3.78488662974416
"28",0.285693892329313
"29",0.838023866055054
"30",0.335372330312635
"31",0.496528951974779
"32",0.502736511326203
"33",0.845399905446338
"34",0.383071794680414
"35",3.83548745268892
"36",2.93717226600627
"37",3.38375531033828
"38",0.565695324990765
"39",0.715996648491867
"40",0.774412164541931
"41",2.13771279638851
"42",2.79250783287601
"43",2.59320573774278
"44",2.61609269705627
"45",0.838038781719241
"46",0.315857563345776
