"","weight"
"1",1.00983364973683
"2",0.251244900547327
"3",0.238863141003962
"4",0.499899990317973
"5",0.994279035382157
"6",0.687048615602973
"7",1.38625394496247
"8",0.71479297690671
"9",0.510980430612395
"10",0.350452564852777
"11",0.439949997518426
"12",2.79293680557264
"13",1.24597792905332
"14",2.2535812390868
"15",4.35373908258637
"16",1.68313736843106
"17",1.63157010257862
"18",2.09053634275605
"19",1.07844267359154
"20",1.91142078058427
"21",0.634089110660305
"22",0.605709501413072
"23",5.38119178244759
"24",5.30305148013182
"25",0.899789976003057
"26",1.15014303464293
"27",3.58943853548938
"28",4.1378916369147
"29",2.7965799827317
"30",1.3781324313142
"31",1.569649960561
"32",3.52096932675562
"33",1.7265850688882
"34",1.72941868850736
"35",6.04344115547415
"36",3.24586148824549
"37",1.52394356804456
"38",1.23734594998147
"39",5.10762375277401
"40",1.29468490371831
"41",0.560307058487088
"42",1.29109449696724
"43",3.25751150494202
"44",1.68305941720257
"45",4.54440350375959
"46",6.98997145922119
"47",0.334388995082131
"48",3.47076663012086
"49",2.92988054360072
"50",3.68052564177566
