"","x"
"1",1.747
"2",2.206
"3",2.91
"4",2.465
"5",1.951
"6",2.109
"7",2.214
"8",4.141
"9",2.16
"10",2.327
"11",2.242
"12",2.035
"13",2.08
"14",6.719
"15",1.952
"16",6.006
"17",1.994
"18",1.443
"19",6.572
"20",2.16
"21",1.63
"22",1.758
"23",7.064
"24",6.193
"25",1.086
"26",4.969
"27",3.405
"28",1.651
"29",6.108
"30",5.569
"31",6.057
"32",3.207
"33",2.586
"34",0.593
"35",3.88
"36",1.7
"37",0.828
"38",1.021
"39",0.967
"40",2.567
"41",0.892
"42",1.105
"43",1.147
"44",0.827
"45",0.801
"46",0.807
"47",1.657
"48",1.49
"49",1.15
