"","x"
"1",16.363
"2",16.026
"3",16.359
"4",15.901
"5",14.669
"6",14.436
"7",14.767
"8",16.224
"9",16.43
"10",16.888
"11",16.972
"12",17.276
"13",15.359
"14",14.544
"15",16.795
"16",16.084
"17",16.469
"18",17.791
"19",16.787
"20",16.226
"21",18.932
"22",16.692
"23",16.737
"24",17.043
"25",17.711
"26",14.107
"27",20.436
"28",15.554
"29",15.913
"30",7.692
"31",15.245
"32",15.453
"33",15.605
"34",18.39
"35",18.767
"36",20.541
"37",17.969
"38",18.47
"39",17.4
"40",18.738
"41",17.85
"42",15.346
"43",15.043
"44",18.332
"45",14.372
"46",14.418
"47",15.618
"48",19.613
"49",18.865
"50",14.893
"51",19.099
"52",15.246
