"","x"
"1",9.436
"2",8.126
"3",15.732
"4",15.06
"5",12.43
"6",14.208
"7",12.083
"8",17.074
"9",16.135
"10",15.766
"11",11.923
"12",12.206
"13",5.292
"14",12.218
"15",16.294
"16",12.499
"17",15.157
"18",12.061
"19",13.724
"20",5.313
"21",6.14
"22",7.197
"23",14.746
"24",14.78
"25",12.895
"26",11.704
"27",7.854
"28",5.361
"29",16.122
"30",11.319
"31",13.049
"32",16.724
"33",15.575
"34",12.819
"35",9.002
"36",11.974
"37",8.263
"38",17.018
"39",12.898
"40",8.6
"41",14.361
"42",16.621
"43",16.081
"44",13.365
"45",10.954
"46",12.399
"47",16.883
"48",14.615
"49",17.981
"50",17.589
"51",15.857
"52",13.557
