"","x"
"1",2.205
"2",4.777
"3",4.905
"4",12.345
"5",2.829
"6",6.201
"7",11.056
"8",5.031
"9",16.541
"10",16.516
"11",10.993
"12",2.893
"13",13.936
"14",16.355
"15",19.695
"16",10.513
"17",15.364
"18",6.142
"19",16.535
"20",18.527
"21",14.368
"22",19.58
"23",16.741
"24",3.163
"25",17.481
"26",0.683
"27",6.224
"28",7.945
"29",18.817
"30",18.033
"31",7.489
"32",6.44
"33",5.602
"34",10.812
"35",14.188
"36",16.729
"37",18.255
"38",17.275
"39",11.902
"40",19.302
"41",15.766
"42",19.321
"43",16.862
"44",17.257
