"","x"
"1",20.696
"2",13.299
"3",8.876
"4",17.246
"5",16.332
"6",7.276
"7",16.462
"8",17.677
"9",16.462
"10",8.36
"11",18.438
"12",11.566
"13",19.103
"14",17.88
"15",17.052
"16",18.8
"17",17.154
"18",6.805
"19",8.142
"20",14.337
"21",19.502
"22",18.881
"23",7.344
"24",13.685
"25",8.813
"26",13.847
"27",13.695
"28",17.308
"29",10.152
"30",7.751
"31",19.702
"32",21.342
"33",14.335
"34",20.75
"35",13.233
"36",17.072
"37",8.655
"38",14.904
"39",12.426
"40",20.763
"41",8.476
"42",14.448
"43",9.948
"44",18.825
"45",18.173
"46",19.182
"47",22.777
"48",19.637
"49",18.82
