"","V1","V2"
"1",1,4
"2",2,4
"3",2,5
"4",3,5
"5",4,7
"6",5,7
"7",1,8
"8",5,9
"9",7,9
"10",6,10
"11",9,10
"12",7,11
"13",9,11
"14",9,12
"15",7,13
"16",11,14
"17",13,14
"18",11,15
"19",12,15
"20",8,16
"21",10,16
"22",12,17
"23",12,18
"24",15,18
"25",13,20
"26",8,21
"27",16,21
"28",16,22
"29",17,22
"30",18,23
"31",8,24
"32",14,24
"33",19,24
"34",21,24
"35",14,25
"36",15,25
"37",17,25
"38",22,26
"39",25,26
"40",15,27
"41",20,27
"42",25,27
"43",24,28
"44",27,29
"45",24,30
"46",25,30
"47",28,30
"48",29,31
"49",29,33
"50",32,33
"51",31,34
"52",33,34
