"","weight"
"1",1.0076829858855
"2",0.587108167138831
"3",1.25229429452157
"4",1.32062712373832
"5",0.541531162324625
"6",1.19168116563472
"7",0.810610264104734
"8",1.25420293421953
"9",0.921195418981197
"10",0.963535676721887
"11",0.75629094960836
"12",0.967917352239195
"13",1.58366063282126
"14",0.678277966673604
"15",1.71385559457138
"16",1.82982715037543
"17",1.18022243637476
"18",0.394792350563815
"19",1.11043640039289
"20",0.969496776623137
"21",0.684882471925057
"22",0.947067051171147
"23",0.909474573677652
"24",0.96306801428631
"25",1.10381339004467
"26",1.97028525833213
"27",1.94883272744588
"28",0.521103636494127
"29",2.15128821895531
"30",2.16206128495681
"31",2.70122194592017
"32",2.626652622601
"33",1.20633991927365
"34",2.17286930120794
