"","V1","V2"
"1",1,3
"2",1,7
"3",2,5
"4",2,10
"5",3,4
"6",3,8
"7",4,11
"8",5,6
"9",6,10
"10",7,13
"11",8,11
"12",8,12
"13",9,13
"14",9,14
"15",10,12
"16",10,17
"17",11,26
"18",12,18
"19",13,22
"20",14,15
"21",15,16
"22",15,22
"23",16,17
"24",16,22
"25",17,23
"26",18,23
"27",18,24
"28",18,27
"29",18,29
"30",19,23
"31",19,24
"32",20,21
"33",20,24
"34",20,25
"35",21,25
"36",21,26
"37",22,27
"38",24,28
"39",25,28
"40",27,30
"41",29,34
"42",29,35
"43",30,31
"44",30,34
"45",30,38
"46",31,37
"47",32,38
"48",33,37
"49",33,39
"50",34,39
"51",34,40
"52",34,45
"53",35,39
"54",35,42
"55",35,43
"56",35,48
"57",36,42
"58",36,43
"59",38,47
"60",39,45
"61",40,41
"62",41,42
"63",42,46
"64",43,44
"65",43,49
"66",44,49
"67",45,48
"68",45,50
"69",46,48
"70",46,49
"71",47,50
"72",48,51
"73",48,52
