"","x"
"1",6.423
"2",5.242
"3",5.384
"4",4.104
"5",5.571
"6",5.897
"7",4.535
"8",4.749
"9",4.527
"10",4.456
"11",5.697
"12",3.866
"13",4.324
"14",5.026
"15",4.5
"16",4.296
"17",6.514
"18",4.193
"19",0.334
"20",6.515
"21",6.44
"22",4.743
"23",7.838
"24",4.089
"25",7.792
"26",0.3
"27",6.164
"28",6.466
"29",4.188
"30",7.877
"31",4.82
"32",6.875
"33",5.138
"34",5.136
"35",5.211
"36",5.803
"37",6.27
"38",5.239
"39",5.582
"40",4.792
"41",6.247
"42",5.524
"43",4.628
"44",4.647
"45",5.969
"46",6.094
"47",5.965
"48",0.294
