"","x"
"1",15.386
"2",13.687
"3",12.85
"4",10.628
"5",12.959
"6",13.403
"7",14.02
"8",16.409
"9",10.558
"10",11.457
"11",13.213
"12",14.123
"13",14.522
"14",14.579
"15",16.473
"16",15.484
"17",15.727
"18",14.523
"19",14.308
"20",12.161
"21",10.249
"22",12.725
"23",12.745
"24",15.133
"25",14.136
"26",15.239
"27",15.642
"28",15.008
"29",11.687
"30",12.463
"31",15.296
"32",12.526
"33",13.899
"34",15.394
"35",14.897
"36",15.458
"37",15.556
"38",15.537
"39",12.881
"40",16.205
"41",13.117
"42",13.013
"43",15.017
"44",10.663
"45",12.52
