"","V1","V2"
"1",1,7
"2",1,10
"3",1,11
"4",2,3
"5",2,7
"6",3,7
"7",4,10
"8",5,6
"9",6,20
"10",7,13
"11",8,12
"12",8,18
"13",9,12
"14",10,19
"15",10,25
"16",11,13
"17",11,15
"18",12,25
"19",12,29
"20",13,17
"21",13,22
"22",14,16
"23",14,31
"24",15,20
"25",16,21
"26",16,31
"27",17,23
"28",18,26
"29",18,29
"30",18,31
"31",19,27
"32",20,22
"33",20,33
"34",20,39
"35",21,31
"36",21,33
"37",22,30
"38",22,32
"39",23,24
"40",23,30
"41",25,28
"42",25,36
"43",26,29
"44",27,28
"45",28,35
"46",29,42
"47",29,43
"48",30,38
"49",31,42
"50",32,33
"51",32,36
"52",32,37
"53",33,37
"54",34,39
"55",34,44
"56",36,41
"57",37,41
"58",37,42
"59",38,39
"60",38,40
"61",39,44
