"","V1","V2"
"1",1,5
"2",1,7
"3",2,8
"4",4,8
"5",2,9
"6",8,9
"7",6,10
"8",7,10
"9",3,11
"10",8,12
"11",9,12
"12",3,13
"13",12,13
"14",7,14
"15",11,14
"16",12,14
"17",10,15
"18",11,15
"19",13,16
"20",13,17
"21",14,17
"22",14,18
"23",15,18
"24",15,20
"25",20,21
"26",5,22
"27",11,23
"28",17,23
"29",18,23
"30",19,24
"31",8,25
"32",24,25
"33",16,26
"34",17,26
"35",19,27
"36",22,28
"37",24,28
"38",27,28
"39",18,29
"40",16,30
"41",23,30
"42",25,31
"43",25,32
"44",31,32
"45",24,33
"46",31,33
"47",25,34
"48",28,34
"49",29,34
"50",32,34
"51",30,35
"52",27,36
