"","V1","V2"
"1",1,6
"2",2,6
"3",3,7
"4",4,7
"5",4,8
"6",5,8
"7",6,12
"8",6,13
"9",7,11
"10",7,12
"11",8,10
"12",8,11
"13",9,14
"14",10,14
"15",10,15
"16",11,15
"17",11,16
"18",12,16
"19",12,17
"20",13,17
"21",14,21
"22",15,20
"23",16,19
"24",16,20
"25",17,19
"26",18,22
"27",19,22
"28",19,23
"29",20,23
"30",20,24
"31",21,24
"32",21,25
"33",22,29
"34",23,28
"35",24,27
"36",24,30
"37",25,26
"38",26,30
"39",27,31
"40",27,32
"41",28,32
"42",28,33
"43",29,33
"44",30,31
"45",30,36
"46",31,35
"47",32,34
"48",33,37
"49",34,37
"50",35,38
"51",36,38
"52",36,39
