"","x"
"1",21.823
"2",22.462
"3",21.992
"4",19.805
"5",22.313
"6",22.86
"7",22.628
"8",22.265
"9",19.357
"10",19.245
"11",22.149
"12",21.578
"13",21.874
"14",17.807
"15",22.739
"16",22.663
"17",21.9
"18",22.324
"19",22.757
"20",21.661
"21",19.89
"22",20.61
"23",22.177
"24",21.368
"25",20.194
"26",22.425
"27",19.284
"28",22.673
"29",23.117
"30",22.759
"31",18.148
"32",23.199
"33",22.498
"34",23.058
"35",18.541
"36",22.234
"37",18.645
"38",22.45
"39",19.54
"40",19.458
"41",21.83
"42",21.004
"43",19.775
"44",21.725
"45",21.575
"46",14.17
"47",18.453
"48",19.751
"49",16.463
"50",21.863
"51",21.723
"52",21.502
"53",23.19
"54",19.183
"55",15.659
"56",22.111
"57",15.346
"58",19.723
"59",21.341
